"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total CH4/cap"
1970,3586083162,295562667,2015354707,8580075,1413346,5608009,20344155,1131046316,1.91
1971,3647808963,289022899,1991620043,8033084,1450008,5215240,21194747,1188468475,1.89
1972,3661879529,291379692,2049742730,8295522,1592332,5756597,22721891,1212408830,1.88
1973,3710214427,292896695,2152361604,8588179,1720306,5789461,24199328,1236369926,1.89
1974,3763011833,294922505,2121892209,8731193,1803342,5222439,24055041,1255712248,1.87
1975,3814558148,308649346,2123035109,8753861,1838308,4875978,25026939,1272452606,1.85
1976,3828452377,312122808,2165021828,9022319,1950298,5029118,26261796,1302465880,1.84
1977,3837123512,323605306,2197802986,9514735,2069431,4741861,27095593,1324025189,1.83
1978,3828737487,331896954,2215471553,9781811,2151222,4714352,28404311,1350122206,1.81
1979,3818387732,339579025,2319109375,10100810,2222335,4907906,28444820,1373244255,1.8
1980,3859276874,331762792,2221128716,10225752,2284698,4326771,28180796,1396675854,1.76
1981,3867365116,338719336,2053916137,10181474,2302735,4376398,28208641,1419128700,1.7
1982,3863441113,344669636,2068442082,10213082,2360277,3851235,28259503,1444009123,1.68
1983,3872830661,350974798,2055532087,10456866,2438168,3482282,28565017,1470663501,1.66
1984,3894991078,360235943,2124027811,11371807,2589267,3921975,28926061,1497175724,1.66
1985,3885837878,373362726,2172021303,11209964,2655618,3873567,29121423,1521910612,1.64
1986,3908757948,377188102,2233889489,11405617,2748883,4058681,30368904,1549837988,1.64
1987,3891151847,385518070,2277088946,11842810,2856367,4138291,31470088,1577441683,1.62
1988,3926136422,393667570,2372184034,12160605,2997480,4284926,32619313,1604825846,1.62
1989,3983368626,390639020,2467056453,10990358,4344678,4347197,33572868,1631916524,1.63
1990,3989158166,399429033,2425598765,10914063,4828644,4434034,34289076,1658739188,1.6
1991,3968017573,396067840,2370503120,10744641,4976029,4279198,34547478,1689486554,1.57
1992,3954533867,380342439,2374347965,10750554,5216675,4062370,34808004,1713584967,1.54
1993,3912599552,380054937,2378748294,10686944,5278653,4403823,34963940,1733378987,1.51
1994,3922008902,363261299,2419142844,10994326,5485202,4701078,35346286,1758648709,1.5
1995,3932319542,368642544,2495817469,11483785,5586066,5013588,35552569,1778403904,1.5
1996,3931935873,338335392,2602698198,11353262,5829181,4993124,35854490,1796381073,1.5
1997,3872593852,353663692,2617560200,11523566,6132991,5189847,35456729,1817062969,1.48
1998,3856060916,333213394,2540876783,11704583,6258612,5441076,35185930,1827830177,1.44
1999,3878754295,334002827,2531539026,12095030,5736864,5376504,34947849,1848705393,1.43
2000,3852320439,332778445,2651845163,12255160,5841316,5678823,34387400,1876306033,1.43
2001,3850492557,330087477,2664408499,12221489,6111090,5793993,33561887,1873888569,1.41
2002,3878015295,328864538,2614185718,12301878,6400957,6108602,33731269,1890809670,1.39
2003,3914117467,336125338,2806615233,13183557,6655822,6494641,33426960,1923423142,1.42
2004,3990275301,341801827,2896080256,14685527,7078620,6985415,33542573,1954305312,1.43
2005,4047070810,342787831,2998472039,15958626,7422264,7305381,33448034,1975173208,1.44
2006,4098089720,345067960,3088483183,16730144,7607572,8054727,32330739,2023056814,1.45
2007,4144780004,340520866,3108340295,17329263,7998386,8629757,31639328,2055975242,1.45
2008,4216728880,342093989,3178292662,17658009,8253817,8700020,31937183,2072293365,1.45
2009,4230283742,339873446,3128188740,17236531,8431801,8672948,31637786,2086354399,1.43
2010,4261207896,341371737,3267031317,18684986,9427156,9901184,31947197,2118035167,1.45
2011,4287089859,335947947,3450470546,19189514,9670201,10775005,31634488,2159537952,1.46
2012,4315846488,337029238,3501884998,19349941,10296629,11308434,31080859,2185533948,1.46
2013,4348266776,337646822,3472286421,19453224,10539335,11925731,30630099,2225431923,1.45
2014,4363616714,337024770,3493597271,19496326,10883460,13134455,30401628,2263588812,1.44
2015,4396983576,335650655,3456860131,19302536,11135284,12962142,29836701,2308155226,1.43
2016,4434788138,332609150,3426650724,18890058,11956782,13385261,29441070,2348236222,1.42
2017,4461877399,333367779,3500218818,18709742,12488463,13863368,29039754,2395474894,1.43
2018,4487877111,322746968,3618551423,18675248,13000593,14401550,28951049,2448675172,1.44
2019,4487723382,314013993,3672930518,18600302,13392425,15175543,29513549,2489053989,1.43
2020,4538352780,312654011,3479394241,18728849,13476741,15249169,27039149,2522937425,1.4
2021,4571503774,317057429,3563861967,19286710,13857096,15789518,28816466,2568614630,1.41
2022,4586474466,317301682,3701948325,19461022,13950833,15565912,29646377,2609680002,1.42
