"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total CO2/cap"
1970,49143283,2926458212,1562255701,3744304794,3823699383,915670265,2796286627,7605313,4.28
1971,49143283,2939568254,1574399637,3511720997,3910981426,921879024,2876504749,7779282,4.18
1972,49143283,3056870832,1654467714,3602041957,4189105946,990161466,3045881595,7957965,4.31
1973,49143283,3120449101,1828873474,3788025165,4524711259,1030394452,3221973378,8139190,4.47
1974,49900345,3040634678,1824605510,3774962595,4603893544,1007746632,3191503489,8320052,4.37
1975,54512382,3115179435,1684688473,3648618031,4695749014,968063445,3275104998,8498052,4.28
1976,57643820,3242335508,1817499829,3816719147,5054509215,1042827320,3407824223,8644685,4.44
1977,62076191,3260735308,1822753730,3984906180,5275518190,1064281302,3529011515,8787223,4.5
1978,66330257,3361432959,1815754198,4037429028,5447839726,1098263173,3672809252,8926306,4.53
1979,72345895,3400581115,1818437747,4218991134,5661228683,1129275757,3737821000,9063137,4.58
1980,75863799,3249026001,1756690606,4110757589,5803598299,1091200569,3691707519,9198667,4.44
1981,76604046,3188040494,1618104881,3969215764,5806804249,1077897909,3676680479,9322667,4.28
1982,77932794,3171577807,1633223294,3793784104,5801810745,1037036304,3644392872,9445150,4.15
1983,82248041,3181483733,1618440867,3710433937,5961703229,1064411784,3678948601,9566070,4.11
1984,85775426,3296396893,1618055399,3842488405,6165640848,1123617829,3784876154,9685441,4.16
1985,86905964,3374636227,1642885828,3757591777,6317995249,1133304542,3862679612,9803162,4.14
1986,90373423,3405042660,1658374523,3729014996,6479744220,1165317799,4003922316,9917888,4.14
1987,91511220,3463971954,1670532416,3854996427,6753522572,1203529334,4142500318,10031263,4.19
1988,95523294,3534890313,1747326986,3968023099,6989810434,1262721962,4338550694,10143793,4.26
1989,94096445,3467937075,1798752153,3941588055,7282989482,1275371857,4462220435,10256018,4.26
1990,91738164,3351254256,1563420113,3955735165,7639708454,1293143555,4611381950,10387766,4.22
1991,90038548,3377201508,1585177514,3878488964,7786157988,1278359953,4648991554,10390326,4.18
1992,89737614,3185506827,1558310801,3745621342,7924613648,1295452101,4753842250,11168196,4.1
1993,87904429,3258535075,1564858120,3696109401,7943627738,1314783184,4795287414,10929019,4.06
1994,91277939,3149052160,1643045319,3712686814,8020505272,1371805810,4891447555,11761965,4.04
1995,97937745,3174313441,1700520364,3939226583,8176822855,1431389699,5026125506,11807351,4.1
1996,103317445,3170749219,1701551914,3829266640,8516031837,1449415412,5231471769,13097486,4.12
1997,103029451,3195633255,1778945141,3855030683,8736332764,1494099267,5307385695,13835710,4.14
1998,104695587,3022733841,1793734966,3854717009,8914192674,1508046398,5431058296,13308454,4.12
1999,108263184,3102306223,1778977530,3697124004,8988256061,1541921315,5591771527,13253553,4.09
2000,107027678,3036431368,1852494731,3872891321,9370957272,1595057918,5771689045,14448296,4.17
2001,108415560,3072940744,1850394706,3895712870,9575797972,1619542119,5801170568,14862158,4.17
2002,113344348,3073192411,1886410297,3889990219,9715084031,1699133771,5952749867,14097137,4.18
2003,114831484,3175929017,2041107138,4075758277,10271797152,1789658011,6077741776,15420623,4.32
2004,119221981,3251775747,2045710232,4506892807,10647792191,1900689790,6359840912,14529583,4.47
2005,108571243,3272048915,2095054249,4924117197,10995674805,2014979934,6500240671,13901807,4.58
2006,112743717,3250635734,2148191844,5167997617,11425411388,2171741651,6652070465,14660136,4.67
2007,116350581,3251360125,2189872391,5441458361,11917211342,2322026559,6859361490,14942094,4.79
2008,114311180,3323628648,2184578452,5555897298,11918051975,2332568918,6862729822,15524016,4.76
2009,124871551,3260640152,2182321543,5538069762,11726528285,2326781723,6723497730,14949755,4.64
2010,123736255,3330050729,2271446528,6080686281,12512592717,2503244130,7010901772,15729197,4.87
2011,130654267,3262809914,2294522518,6311091636,13112550459,2655190557,7128425507,16055451,4.96
2012,133739714,3229022966,2346868331,6332015744,13393914004,2741288847,7187514211,15629855,4.96
2013,137920709,3348541483,2380040377,6358823576,13626198777,2823739311,7373902587,17582257,5
2014,135111781,3290896455,2353519533,6425251996,13686203497,2886012067,7497303796,16002458,4.97
2015,138413771,3316769667,2423164826,6286635590,13387051673,2857742279,7732101875,16964262,4.9
2016,137553728,3350949539,2337226059,6130934194,13441578780,2961481736,7879176335,17139000,4.86
2017,135685405,3417541433,2395358939,6067820582,13754018475,3024544013,8078337024,16988838,4.89
2018,135820967,3438824551,2450310126,6206749116,14203600518,3107404930,8271762783,17394372,4.96
2019,141110971,3354125564,2568598204,6210739740,14084000693,3179210691,8269917085,17203049,4.9
2020,147753032,3276605542,2417096663,6180972984,13584103765,3219705290,7101115862,17117073,4.61
2021,150030462,3439731944,2512622459,6497622733,14533292803,3321229500,7610481612,17152272,4.84
2022,150578788,3421570589,2531898467,6537543097,14669268624,3226348495,7967586312,17203485,4.84
