"Category","Processes","Total F\x2Dgases/cap"
1970,153335449,0.041
1971,162366412,0.043
1972,169844001,0.044
1973,181366111,0.046
1974,192245086,0.048
1975,191089687,0.047
1976,203469437,0.049
1977,219728694,0.052
1978,229547291,0.053
1979,243136234,0.056
1980,246684690,0.055
1981,245558750,0.054
1982,242134782,0.052
1983,258194755,0.055
1984,284722400,0.059
1985,290223701,0.06
1986,291579386,0.059
1987,296247638,0.059
1988,316485662,0.061
1989,325048266,0.062
1990,340426129,0.064
1991,353985627,0.065
1992,359933937,0.065
1993,372003710,0.067
1994,400415528,0.071
1995,443326188,0.077
1996,471138078,0.081
1997,500617997,0.085
1998,524508238,0.088
1999,543160078,0.09
2000,574994681,0.094
2001,577803019,0.093
2002,647979910,0.103
2003,673446654,0.106
2004,742754456,0.115
2005,792449699,0.121
2006,762046525,0.115
2007,765085134,0.114
2008,744394851,0.11
2009,762306417,0.111
2010,816727463,0.117
2011,863933650,0.123
2012,916571770,0.129
2013,961452829,0.133
2014,1029269476,0.141
2015,997226725,0.135
2016,1044273848,0.14
2017,1103662937,0.146
2018,1161448281,0.152
2019,1208035913,0.157
2020,1263383014,0.162
2021,1326526635,0.168
2022,1398895412,0.176
