"Category","Agriculture","Buildings","Fuel Exploitation","Industrial Combustion","Power Industry","Processes","Transport","Waste","Total GHG/cap"
1970,4527024579,3267750060,3580583766,3765282857,3836212999,1487504437,2850810853,1182374868,6.62
1971,4603746791,3274352007,3569137184,3531338339,3923671713,1507519552,2932491264,1240664064,6.51
1972,4627571342,3395600889,3707517703,3622208700,4202551901,1594868499,3105699071,1265435934,6.63
1973,4687704237,3462800791,3984951580,3808901244,4539042350,1674351414,3285455339,1290652382,6.81
1974,4749407357,3385552994,3950268813,3796048601,4618448085,1676517755,3255134990,1311005526,6.68
1975,4839687913,3478419701,3811320321,3669622399,4710801644,1619481795,3340145208,1328975115,6.57
1976,4884446150,3611199837,3986383161,3838492290,5070616665,1724050847,3475505472,1359961508,6.73
1977,4921357219,3642929831,4024432242,4007891203,5292591565,1764588885,3598834182,1382484716,6.77
1978,4946801144,3753926784,4035223294,4060940234,5465628674,1819832126,3745729224,1410770867,6.79
1979,4969817520,3802612933,4141522196,4243131219,5679674269,1858010691,3811661343,1435196085,6.84
1980,5037576986,3643402376,3981649009,4134993536,5822751247,1797658624,3764900346,1459327908,6.65
1981,5053746376,3589075035,3675471463,3993355079,5826165123,1764921265,3750323602,1483635508,6.42
1982,5088429594,3580651865,3705128274,3817974375,5821824622,1697158469,3717067733,1509749388,6.27
1983,5133721009,3598141004,3677433219,3734991214,5982473289,1758293004,3752086024,1538051307,6.21
1984,5191212405,3723331790,3745557649,3868867334,6187203962,1837548590,3859682533,1566229029,6.26
1985,5179198566,3815613351,3818529463,3783467170,6340402609,1832086331,3938193848,1592231766,6.22
1986,5231072761,3850728427,3895884206,3755215074,6502808137,1854771350,4082467722,1621902199,6.21
1987,5236221355,3919483151,3951304109,3882289750,6777195974,1902721772,4224007686,1650997468,6.24
1988,5301864356,3999998980,4123369110,3995939946,7014776268,1969478431,4422977181,1679883854,6.32
1989,5373658070,3930698847,4269891708,3966668602,7312942274,1984509368,4548879303,1708489822,6.32
1990,5385795415,3816842392,3992922346,3981133468,7672305555,1984159828,4698773859,1736187843,6.24
1991,5359015066,3839903363,3959721569,3903699954,7820168478,1984167350,4737908850,1768606097,6.16
1992,5350925877,3632315263,3936710840,3770911692,7959584586,2009231295,4845782185,1795772271,6.05
1993,5305115503,3704628959,3947729887,3721106641,7979528170,2040100843,4887421977,1817155051,5.98
1994,5333427805,3578827100,4066539857,3738372391,8057604982,2140199936,4987254379,1845492012,5.95
1995,5382107115,3611638301,4200779383,3966123564,8215550960,2262520246,5126001947,1867076434,6.02
1996,5420364811,3575916338,4308778273,3855972332,8556565889,2319218510,5336950174,1888364286,6.05
1997,5329160690,3619151557,4401153188,3882115392,8778404023,2384964163,5417768887,1911308441,6.05
1998,5336033460,3425324016,4339282818,3882298477,8957212387,2400961197,5547719106,1923483502,5.98
1999,5377315461,3506442861,4315105902,3725428947,9031014569,2434478927,5715686162,1945854871,5.94
2000,5348088562,3434721687,4509025289,3901411435,9416917848,2526528537,5879612739,1975400943,6.02
2001,5348414612,3468217290,4519705791,3924125296,9623984834,2547684934,5909698685,1975063899,6
2002,5401133806,3466871175,4505534456,3918558842,9765472160,2692595039,6064635776,1992382122,6
2003,5456535284,3577557065,4853133394,4106239002,10325744556,2814953698,6192534436,2028153584,6.17
2004,5573941683,3661458287,4947256748,4540775669,10705313677,3013836024,6479706053,2059560120,6.34
2005,5627901599,3684260981,5099245580,4961025143,11055158331,3189182134,6620538447,2081116282,6.47
2006,5713681344,3665626265,5242460959,5206808596,11488517315,3315596992,6774983804,2131891276,6.57
2007,5785473554,3660990180,5304468287,5481669910,11986116217,3488624084,6985140682,2167384541,6.69
2008,5850805578,3734955375,5369397463,5596861583,11988726154,3451350118,6990183496,2186185266,6.65
2009,5911566590,3668204776,5317082542,5578651540,11796879880,3430675393,6845718216,2201615996,6.51
2010,5946246981,3740777243,5545439516,6124466343,12587815542,3673046629,7137770800,2236003666,6.75
2011,6013851834,3667765784,5752926082,6355996340,13191691426,3890672391,7256289835,2280023122,6.87
2012,6057815035,3634510924,5856976087,6377310731,13474870074,4043861638,7316141588,2307415351,6.89
2013,6118710440,3754965789,5860720597,6404443234,13709656058,4173372123,7502351233,2351455614,6.92
2014,6125703144,3696975264,5855131175,6470966969,13771277813,4305983251,7627101945,2389857948,6.89
2015,6179377948,3720454149,5888047112,6331833512,13469979293,4244134629,7862957510,2437599610,6.79
2016,6232063909,3750900675,5771585502,6175189776,13526469639,4395691597,8010991853,2480151497,6.74
2017,6255647702,3819159027,5903254145,6111553598,13842708689,4521295529,8212390365,2529410057,6.78
2018,6285499926,3830045661,6076645672,6250337654,14296287777,4667201138,8407689557,2584435874,6.87
2019,6319566745,3736100581,6249476258,6253997672,14178025350,4786336576,8407952965,2625879129,6.82
2020,6405352257,3655945311,5903958389,6224533370,13674909011,4881506895,7225114426,2660989795,6.5
2021,6457163405,3825298807,6084063016,6542548662,14629921034,5065700290,7743517612,2708394895,6.74
2022,6490622881,3808625950,6241465282,6582903903,14766171887,5040251118,8104749914,2751247973,6.76
